"sim","censoring","n","perc_censored","alpha_cf","beta_cf","gamma_cf","alpha_m","beta_m","gamma_m"
"114-1","extra_heavy",100,0.76,1.21488638627956,0.0657475919518368,-0.0310752549484026,1.21077069250707,0.065624357705591,-0.0290905447721332
"114-2","extra_heavy",100,0.75,1.3477838712798,-0.338293081561149,-0.239692494260403,1.34811258867966,-0.336692921620895,-0.239629334912496
"114-3","extra_heavy",100,0.79,0.855307067699413,0.00438902030395653,0.707208815441855,0.854594321166006,0.00436706937787988,0.707607816487667
"114-4","extra_heavy",100,0.77,0.826140113733505,0.0471825952464756,0.236274680081829,0.824612823340401,0.0468831746357731,0.23608961830266
"114-5","extra_heavy",100,0.72,0.869056839792481,0.147725395858341,0.514199326910125,0.868208998780073,0.148516178604228,0.510736515861186
"114-6","extra_heavy",100,0.81,1.24242743416355,-0.00817333834909663,-0.0170427447265635,1.26428281233729,-0.0126150622303589,-0.0375653402431784
"114-7","extra_heavy",100,0.76,0.956516823553761,0.402706338619199,0.45192380869457,0.953668154038781,0.404748449008052,0.452961957358521
"114-8","extra_heavy",100,0.76,1.01668889734682,0.026983895522018,0.502408285523788,1.02320841997126,0.0231454993699075,0.499324559399114
"114-9","extra_heavy",100,0.71,1.20545464119003,0.385376994788268,0.0892335265545802,1.20697688362943,0.372021068069923,0.0913332164356506
"114-10","extra_heavy",100,0.79,0.683110572430813,0.347053300471755,0.420999675572663,0.674261332703063,0.349317912016977,0.421505985172129
"114-11","extra_heavy",100,0.77,0.942674409219158,0.135479814848139,0.273340911801763,0.944993747462721,0.129102451042263,0.27694072363946
"114-12","extra_heavy",100,0.76,0.937068833014049,1.27074529970134,0.436308835863008,0.963439452852813,1.17311050433073,0.435594454777484
"114-13","extra_heavy",100,0.73,0.971757777909294,0.775978000953828,0.449044288945287,0.974945224089534,0.755286053861381,0.450385359059164
"114-14","extra_heavy",100,0.78,1.2455427471235,0.13578680901913,0.205205625066155,1.24202250033298,0.137613975338275,0.205240163751073
"114-15","extra_heavy",100,0.81,0.912532656903037,0.0436937228064851,0.517566236220676,0.956206967087562,0.0164283228338674,0.480636682248868
"114-16","extra_heavy",100,0.82,1.18196319584359,0.00156118068696512,0.0339158887000996,1.18013067383508,0.00158435861721807,0.0313658531949017
"114-17","extra_heavy",100,0.77,1.03621108245941,0.344465051466058,0.0343986648091478,1.04401306099201,0.326310979114183,0.0377459872835498
"114-18","extra_heavy",100,0.78,0.760974113611205,2.03055072937485,0.321118771417154,0.758979818107549,2.14285228328754,0.321408062371554
"114-19","extra_heavy",100,0.8,0.987676686126369,0.880548780074007,0.273825978650895,0.978396228506566,0.892254409576383,0.278751330129934
"114-20","extra_heavy",100,0.76,0.773091773148014,0.0710794354390936,0.412444093122301,0.775518338091561,0.070307321277689,0.409758957660227
"114-21","extra_heavy",100,0.79,0.649532060316463,0.353841413625035,0.0152294140110868,0.659652784621458,0.338410042108438,0.0161741615098942
"114-22","extra_heavy",100,0.73,1.04054542890135,0.323035134852733,0.490821514836482,1.03390126971321,0.348334783581161,0.488728847289767
"114-23","extra_heavy",100,0.79,0.892794673404625,0.297849191840257,-0.067433559337583,0.894264748825475,0.291589351507739,-0.0665189034133148
"114-24","extra_heavy",100,0.83,0.808117399887248,0.267182376031348,0.332413188902422,0.819146068042482,0.253990031579405,0.330783217895947
"114-25","extra_heavy",100,0.88,0.975805614807701,0.138852687721687,0.156378898561577,0.963262442578362,0.159734882715588,0.134814669603161
"114-26","extra_heavy",100,0.78,1.06362908053072,0.00228157283844275,0.122200203397512,1.06378286308037,0.00218829236623466,0.124191036941019
