"sim","censoring","n","distX","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_weibull","beta_weibull","gamma_weibull","se_alpha_weibull","se_beta_weibull","se_gamma_weibull"
"11430-1","heavy",500,"gamma",0.498,0.964835822455083,0.51652797312605,0.172535036363737,1.21725887926294,0.426672691758536,0.171515567300618,0.17668495305724,0.043288859224814,0.178723621420424
"11430-2","heavy",500,"gamma",0.496,1.07612836342895,0.491462417340978,0.245952875219558,1.46315658357629,0.303428344719041,0.271520418998728,0.155002999930685,0.0306734782007212,0.178259293433081
"11430-3","heavy",500,"gamma",0.506,1.04424278712851,0.478285413912989,0.376518618801621,0.910472682975304,0.524154778477569,0.417954348680565,0.169129937487728,0.0440478943942068,0.175558527102944
"11430-4","heavy",500,"gamma",0.506,1.06915079642,0.492341007528901,0.298556476209094,1.1354903154502,0.456106704692181,0.209527045257741,0.156528089956435,0.0397292997684666,0.163209282552838
"11430-5","heavy",500,"gamma",0.466,1.07995552365837,0.474134992996748,0.253435475412606,1.08415181559214,0.484862234669211,0.270923997200141,0.170357164649064,0.045057920478191,0.174083780444725
"11430-6","heavy",500,"gamma",0.498,0.833631439134178,0.521319677766485,0.399054094621615,1.13998847532865,0.356897315706063,0.50977874799535,0.170170200978377,0.0381333784095377,0.190438231865683
"11430-7","heavy",500,"gamma",0.542,0.966027211485866,0.488592007203917,0.275846119731391,1.25196614958496,0.398977034734737,0.244798906842445,0.180983792519276,0.0427452155451978,0.205877482211033
"11430-8","heavy",500,"gamma",0.496,1.02249863470425,0.503867397869979,0.215114187632592,1.11010878947006,0.495144455425405,0.135432245736764,0.168304276373926,0.0426905166554476,0.177212462594513
"11430-9","heavy",500,"gamma",0.554,1.09543770722714,0.483951894429454,0.284320574790516,1.50540096067085,0.297860965501923,0.218680619603078,0.152032364529647,0.0322620109201156,0.190663715025498
"11430-10","heavy",500,"gamma",0.486,1.07656468712141,0.482473891560181,0.28692263566711,1.28449167775596,0.42041663402344,0.211889852475495,0.180673556356696,0.0469475609090941,0.173141249870273
"11430-11","heavy",500,"gamma",0.5,1.07192510156202,0.499960761317162,0.189720595410135,1.33387646605773,0.384839883554142,0.177663881772809,0.161408537650253,0.0389663900283356,0.181777061509542
"11430-12","heavy",500,"gamma",0.496,0.908231739840236,0.512284196281299,0.258182541703536,1.21557409670679,0.376891390757452,0.161514872694665,0.16523929043065,0.0315854021616802,0.181866644241543
"11430-13","heavy",500,"gamma",0.514,0.942647288682214,0.478714792925973,0.515107802766009,1.11615014193698,0.434314912453438,0.255573310875392,0.146513307526707,0.0368331203141547,0.16881773332766
"11430-14","heavy",500,"gamma",0.504,1.09045773747394,0.503257076741661,0.139229604166141,1.01564817412757,0.52075408981304,0.100192941642431,0.172143252175108,0.0428147269823483,0.176171147962152
"11430-15","heavy",500,"gamma",0.526,1.03202852354857,0.492015865413719,0.227412723496958,0.991748228558962,0.509287128893167,0.0966209155032379,0.176984556087334,0.0431547775083753,0.174310154226797
"11430-16","heavy",500,"gamma",0.472,0.890998244646309,0.537960556777656,0.287995032883951,0.757020430043638,0.635769722995505,0.0738735876782897,0.165343121144624,0.0491691564361851,0.181585464099009
"11430-17","heavy",500,"gamma",0.49,1.10374475543371,0.488218122455607,0.195552550305111,1.1427332034445,0.473272700632743,0.170640730047976,0.158380783430671,0.038392099442064,0.178903180685063
"11430-18","heavy",500,"gamma",0.514,1.05260794440874,0.488856734607865,0.153649208340297,1.0813315388717,0.482515267162933,-0.0231868199460563,0.165157042770797,0.0406454519252627,0.17954324933537
"11430-19","heavy",500,"gamma",0.544,1.00370790823006,0.524469824832678,0.144257179075812,1.07711128283131,0.452432706599507,0.294972972599545,0.177041117525929,0.0400461200802616,0.178142234984665
"11430-20","heavy",500,"gamma",0.47,1.01483576601742,0.498154829326799,0.276160688962999,1.0511262129885,0.536267740270496,0.159653678274489,0.162303514797749,0.0468357404610639,0.173228563830002
"11430-21","heavy",500,"gamma",0.49,0.83718495253131,0.534447762605131,0.215683692233789,1.049853870783,0.417980061523658,0.388107361316002,0.185358656306163,0.0402260338389497,0.175553389067023
"11430-22","heavy",500,"gamma",0.524,0.914348290355758,0.52668897194515,0.288271766984183,1.12569492870685,0.431996701895812,0.136948359680562,0.159283737316157,0.0363548186276755,0.169542573688935
"11430-23","heavy",500,"gamma",0.516,1.07130295049891,0.509930029020702,0.189985390798518,1.04471718680055,0.478332165502179,0.55408678714246,0.190748295232444,0.0434027537949418,0.188220707767688
"11430-24","heavy",500,"gamma",0.55,1.04394033578588,0.505632027287408,0.142088061792848,1.29904877469141,0.403603808795502,-0.00439074880929541,0.145754078257666,0.0361347601837431,0.173886203078761
"11430-25","heavy",500,"gamma",0.506,1.02815489343928,0.498674722284582,0.210897629851623,1.21023867496662,0.423985252182682,0.0446805834856959,0.179512223580972,0.0431308537180831,0.173052134677114
"11430-26","heavy",500,"gamma",0.476,0.982189835077543,0.495585372489988,0.128924051815579,1.08333827705111,0.481795451649964,-0.0368699849865069,0.163511536740216,0.0454939499383054,0.176685379842509
"11430-27","heavy",500,"gamma",0.534,1.09555966515812,0.494975343963362,0.20815591578251,0.920156826606621,0.537000870917671,0.245962970993399,0.1628142126652,0.0396197714790783,0.160362746987615
