"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11433-1","light",2000,20,0.168,1.03725073800923,0.554825781597324,0.1740287053937,1.04614684090715,0.555865057701788,0.213090083015671,0.0557464852315043,0.0713948187042766,0.0736761285607447,1.02809988605626,0.597269796838986,0.168274871567612,0.0526433190375986,0.069040399669772,0.0663589970815629,306.771,2.41699999999997
"11433-2","light",2000,20,0.1735,0.988100012260092,0.518504395514594,0.236914702885001,1.00228274970164,0.500167247924654,0.277395875337961,0.0533010125592032,0.0688602014468397,0.0634929676281299,0.982943603315571,0.541858404597929,0.208102990442418,0.0511557646761137,0.0652918661066607,0.0560837977644173,312.049,2.30899999999997
"11433-3","light",2000,20,0.172,1.02528435433907,0.521270591119318,0.215182493387089,1.06209642025352,0.463178660863799,0.264449363976431,0.056179694834409,0.0486210943914491,0.0631008283130398,1.03483168633561,0.523310281602264,0.19859938817681,0.0493389277661729,0.0501844808202152,0.0593102647455252,317.754,2.31700000000001
"11433-4","light",2000,20,0.1695,0.992263429758684,0.496944109062369,0.226266350827376,1.00808490832459,0.455880940211686,0.323345889701907,0.0498410496747547,0.0751089318295159,0.0636504785796078,1.00644714869069,0.488138098044776,0.230012845211719,0.0463016996595409,0.0646775391299494,0.0677047525181947,309.062,2.27299999999991
"11433-5","light",2000,20,0.1695,1.00106646831777,0.468035609114633,0.268141346371285,1.0237835164055,0.423191744574506,0.312602369122817,0.0463344650016196,0.070209138141034,0.0659101034396169,0.996837951679037,0.48194564948571,0.269568677049362,0.0446738516892961,0.0609407669508164,0.0687847098267623,303.627,2.28199999999993
"11433-6","light",2000,20,0.1765,1.04610269501559,0.526450221819177,0.217114886894809,1.06844843480853,0.510248098451256,0.257908274200107,0.0586045201120867,0.0617026197406096,0.0733278862468556,1.04524762894417,0.527849253853184,0.205544642476747,0.0419353170132475,0.0558977762428236,0.0694622572766474,329.62,2.31799999999998
"11433-7","light",2000,20,0.1645,1.01614350440671,0.499138261785301,0.180459945057829,1.04155797655743,0.454585188406256,0.22788374685653,0.0489871940153185,0.0723203825984096,0.06410102864667,1.00205424418611,0.516068663376988,0.192486579959711,0.0486810604033469,0.0565046404947104,0.0712946812852276,302.677,2.24400000000014
"11433-8","light",2000,20,0.181,0.92015672224461,0.533148665035152,0.310448053909567,0.960253385718293,0.502283215597493,0.353443999780998,0.0487472508972734,0.0657496985965434,0.0675270764235586,0.918542952896456,0.522712948186625,0.325742491054603,0.0453192723585509,0.0557103916589929,0.0616240039085549,333.933,2.40000000000009
"11433-9","light",2000,20,0.1765,1.05555075086868,0.47483744874821,0.211822184118659,1.05634199157549,0.481743500308547,0.263807156880041,0.0446958423900047,0.0556109876115726,0.0565378114590401,1.03710749973639,0.504546493101749,0.214629913024524,0.0509254025602919,0.0603154312507341,0.0694075263922095,329.687,2.48100000000022
"11433-10","light",2000,20,0.18,0.963010284737392,0.502980582390489,0.259025810717067,1.00625289543739,0.437153080178072,0.300558466841186,0.0523928820134806,0.0736610772628586,0.0663415333271725,0.951936600075124,0.537942526704793,0.273052408967638,0.0498962781052768,0.0746093903108339,0.0633516469573682,324.663,2.48100000000022
